acc,activation_dense,drop_dense,drop_lstm,epoch_cnt,loss,lstm_bidirectional,nodes_dense,nodes_lstm,val_acc,val_loss
0.730233512197,relu,0.05,0.2,1,0.529585188025,False,200,300,0.777992669881,0.476464871916
0.800921360724,relu,0.05,0.2,2,0.418994823904,False,200,300,0.810220787328,0.404414647198
0.841446480828,relu,0.05,0.2,3,0.346730786305,False,200,300,0.812758187855,0.41178737787
0.872436961548,relu,0.05,0.2,4,0.28796802286,False,200,300,0.821190411716,0.404871102505
0.894840463381,relu,0.05,0.2,5,0.243031585988,False,200,300,0.825723700351,0.427743174984
